film	famille	xuid	gamertag	periodes	publie_s	oracle_s	ecart_s	ecart_par_periode_s	publie_demi_fenetre_s	demi_fenetre_depasse_oracle
a0c36016	CTF	2533274858283686		5	32.8	32.3	0.5	0.10	37.8	true
a0c36016	CTF	2533274858911298		7	42.3	41.5	0.8	0.11	49.3	true
a0c36016	CTF	2535425652517893		7	21.2	20.1	1.1	0.16	28.2	true
a0c36016	CTF	2535427927026623		8	5.9	5.0	0.9	0.11	13.9	true
a0c36016	CTF	2535448372866366		2	3.1	3.0	0.1	0.05	5.1	true
a0c36016	CTF	2535456861208728		7	10.4	9.4	1.0	0.14	17.4	true
a0c36016	CTF	2535469190789936		12	43.4	43.8	-0.4	-0.03	55.4	true
b8a44fe8	CTF	2533274823110022		2	25.0	17.2	7.8	3.90	27.0	true
b8a44fe8	CTF	2533274858283686		30	232.4	271.8	-39.4	-1.31	262.4	false
b8a44fe8	CTF	2533274858911298		2	56.4	28.4	28.0	14.00	58.4	true
b8a44fe8	CTF	2533274897257135		2	9.2	9.0	0.2	0.10	11.2	true
b8a44fe8	CTF	2535442462807197		13	140.4	59.0	81.4	6.26	153.4	true
b8a44fe8	CTF	2535455799302553		10	30.9	14.9	16.0	1.60	40.9	true
b8a44fe8	CTF	2535469190789936	Chocoboflor	1	0.8	0.8	0.0	0.00	1.8	true
bc60b4d9	CTF	2533274823110022	JGtm	2	9.1	8.8	0.3	0.15	11.1	true
bc60b4d9	CTF	2533274897645479		5	41.8	41.3	0.5	0.10	46.8	true
bc60b4d9	CTF	2533274924336100		4	18.8	18.2	0.6	0.15	22.8	true
bc60b4d9	CTF	2533274943116584		3	9.6	9.1	0.5	0.17	12.6	true
bc60b4d9	CTF	2535458465148583		1	1.8	1.6	0.2	0.20	2.8	true
bc60b4d9	CTF	2535469190789936		5	23.9	22.6	1.3	0.26	28.9	true
bc60b4d9	CTF	2654577101798078		9	23.6	18.6	5.0	0.56	32.6	true
bf5ced1b	CTF	2535412865870758		2	14.7	12.3	2.4	1.20	16.7	true
bf5ced1b	CTF	2535434888128184		2	17.2	17.0	0.2	0.10	19.2	true
bf5ced1b	CTF	2535459651975585		7	4.3	3.8	0.5	0.07	11.3	true
cde26226	CTF	2533274817658307		6	275.3	274.0	1.3	0.22	281.3	true
cde26226	CTF	2533274818074729		4	73.0	72.4	0.6	0.15	77.0	true
cde26226	CTF	2533274823110022	JGtm	1	2.9	2.8	0.1	0.10	3.9	true
cde26226	CTF	2533274849050722		4	12.9	12.5	0.4	0.10	16.9	true
cde26226	CTF	2533274858283686		6	40.2	33.7	6.5	1.08	46.2	true
cde26226	CTF	2535415492484355		13	18.1	16.6	1.5	0.12	31.1	true
cde26226	CTF	2535468122262494		40	46.6	42.3	4.3	0.11	86.6	true
cde26226	CTF	2535469190789936		10	30.5	26.1	4.4	0.44	40.5	true
f8efc5ca	CTF	2533274804730586		3	30.4	29.8	0.6	0.20	33.4	true
f8efc5ca	CTF	2533274811578968		3	64.4	62.2	2.2	0.73	67.4	true
f8efc5ca	CTF	2533274823110022		5	25.9	25.1	0.8	0.16	30.9	true
f8efc5ca	CTF	2533274858283686		7	22.8	21.7	1.1	0.16	29.8	true
f8efc5ca	CTF	2535458336606528		8	21.6	23.3	-1.7	-0.21	29.6	true
f8efc5ca	CTF	2535467632752562		6	29.6	28.9	0.7	0.12	35.6	true
f8efc5ca	CTF	2535469190789936		2	5.3	5.0	0.3	0.15	7.3	true
fb1a1a72	CTF	2533274795950878		3	20.5	12.5	8.0	2.67	23.5	true
fb1a1a72	CTF	2535408981717353		3	19.1	18.8	0.3	0.10	22.1	true
fb1a1a72	CTF	2535417580715145		8	33.9	32.7	1.2	0.15	41.9	true
fb1a1a72	CTF	2535425179403277		5	23.9	23.3	0.6	0.12	28.9	true
fb1a1a72	CTF	2535450323793545		1	18.2	18.1	0.1	0.10	19.2	true
fb1a1a72	CTF	2535469190789936		11	145.7	140.0	5.7	0.52	156.7	true
fb1a1a72	CTF	2535473461033821		3	15.4	15.0	0.4	0.13	18.4	true
4ecdf3e7	CTF	2533274823110022	JGtm	2	22.6	22.4	0.2	0.10	24.6	true
4ecdf3e7	CTF	2533274858283686		10	54.3	52.9	1.4	0.14	64.3	true
4ecdf3e7	CTF	2535426953464929		11	17.1	15.9	1.2	0.11	28.1	true
4ecdf3e7	CTF	2535469190789936		2	3.9	14.3	-10.4	-5.20	5.9	false
